english,vietnamese,part_of_speech
shift,ca làm,noun
shine,tỏa sáng,verb
ship,tàu,noun
shirt,áo sơ mi,noun
shock,sốc,noun
shocked,bị sốc,adjective
shooting,vụ bắn,noun
shopping,mua sắm,noun
shore,bờ,noun
shortly,sớm,adverb
shot,phát bắn,noun
shout,hét,verb
shower,tắm,noun
shrug,nhún vai,verb
sight,tầm nhìn,noun
signal,tín hiệu,noun
significance,tầm quan trọng,noun
significantly,đáng kể,adverb
silence,sự im lặng,noun
silent,yên lặng,adjective
silver,bạc,noun
similarity,sự tương tự,noun
similarly,tương tự,adverb
simultaneously,đồng thời,adverb
sink,chìm,verb
sir,ngài,noun
situate,đặt tại,verb
slight,nhẹ,adjective
slightly,hơi,adverb
slow,chậm,adjective
slowly,chậm rãi,adverb
smart,thông minh,adjective
smell,mùi,noun
smooth,mịn,adjective
snap,búng tay,verb
snow,tuyết,noun
soap,xà phòng,noun
soccer,bóng đá,noun
soft,mềm,adjective
software,phần mềm,noun
soil,đất,noun
solar,mặt trời,adjective
solid,rắn,adjective
solution,giải pháp,noun
solve,giải quyết,verb
somehow,bằng cách nào đó,adverb
somewhat,phần nào,adverb
soul,tâm hồn,noun
southern,phía nam,adjective
soviet,Liên Xô,adjective
span,khoảng thời gian,noun
spare,dự phòng,adjective
specialist,chuyên gia,noun
species,loài,noun
spectacular,ngoạn mục,adjective
spectrum,phổ,noun
spill,làm đổ,verb
spin,xoay,verb
spirit,tinh thần,noun
spiritual,tâm linh,adjective
split,tách,verb
spokesman,người phát ngôn,noun
sponsor,nhà tài trợ,noun
spot,điểm,noun
spread,lan truyền,verb
square,vuông,noun
stable,ổn định,adjective
stadium,sân vận động,noun
staff,nhân viên,noun
stake,cổ phần,noun
stance,lập trường,noun
stare,nhìn chằm chằm,verb
status,trạng thái,noun
steady,ổn định,adjective
steal,ăn cắp,verb
steel,thép,noun
steep,dốc,adjective
stick,gậy,noun
stimulate,kích thích,verb
stir,khuấy,verb
stomach,dạ dày,noun
stone,đá,noun
storm,bão,noun
straight,thẳng,adjective
strain,căng thẳng,noun
stranger,người lạ,noun
strength,sức mạnh,noun
stress,căng thẳng,noun
stretch,kéo dài,verb
strike,đình công,verb
string,chuỗi,noun
strip,dải,noun
stroke,đột quỵ,noun
structure,cấu trúc,noun
struggle,đấu tranh,verb
studio,phòng thu,noun
submit,nộp,verb
subsequent,sau đó,adjective
subsidy,trợ cấp,noun
substance,chất,noun
substantial,đáng kể,adjective
substitute,thay thế,noun
succeed,thành công,verb
sufficient,đủ,adjective
sugar,đường,noun
suit,bộ đồ,noun
suitable,phù hợp,adjective
summary,tóm tắt,noun
superior,cao cấp,adjective
supermarket,siêu thị,noun
supervise,giám sát,verb
supplier,nhà cung cấp,noun
supply,nguồn cung,noun
supporter,người ủng hộ,noun
suppose,cho rằng,verb
supreme,tối cao,adjective
surface,bề mặt,noun
surgeon,bác sĩ phẫu thuật,noun
surgery,phẫu thuật,noun
surprise,sự ngạc nhiên,noun
surprising,đáng ngạc nhiên,adjective
surround,bao quanh,verb
survey,khảo sát,noun
survival,sự sống sót,noun
survive,sống sót,verb
suspect,nghi ngờ,verb
sustain,duy trì,verb
swear,thề,verb
sweep,quét,verb
switch,chuyển đổi,verb
symbol,biểu tượng,noun
symptom,triệu chứng,noun
systematic,có hệ thống,adjective
tackle,xử lý,verb
talent,tài năng,noun
tank,xe tăng,noun
target,mục tiêu,noun
taste,vị,noun
tax,thuế,noun
taxi,taxi,noun
tea,trà,noun
technical,kỹ thuật,adjective
technique,kỹ thuật,noun
teenager,thiếu niên,noun
temporary,tạm thời,adjective
tension,căng thẳng,noun
territory,lãnh thổ,noun
terror,khủng bố,noun
terrorist,kẻ khủng bố,noun
testify,làm chứng,verb
text,văn bản,noun
texture,kết cấu,noun
thankful,biết ơn,adjective
theme,chủ đề,noun
thick,dày,adjective
thin,mỏng,adjective
thorough,triệt để,adjective
thoroughly,hoàn toàn,adverb
throat,cổ họng,noun
tight,chặt,adjective
till,cho đến,preposition
tiny,nhỏ bé,adjective
tip,mẹo,noun
tire,lốp xe,noun
tissue,mô,noun
title,tiêu đề,noun
tobacco,thuốc lá,noun
tolerate,dung thứ,verb
tone,giọng điệu,noun
topic,chủ đề,noun
toss,ném,verb
total,tổng cộng,noun
touch,chạm,verb
tour,chuyến du lịch,noun
tourism,du lịch,noun
tourist,du khách,noun
tournament,giải đấu,noun
trace,dấu vết,noun
track,đường đua,noun
tradition,truyền thống,noun
traffic,giao thông,noun
tragedy,bi kịch,noun
transfer,chuyển giao,verb
transform,biến đổi,verb
transition,chuyển đổi,noun
translate,dịch,verb
translation,bản dịch,noun
transport,vận chuyển,noun
trap,bẫy,noun
treasure,kho báu,noun
treaty,hiệp ước,noun
trend,xu hướng,noun
tribe,bộ lạc,noun
trigger,kích hoạt,verb
troop,quân đội,noun
tropical,nhiệt đới,adjective
truck,xe tải,noun
truly,thực sự,adverb
trust,tin tưởng,noun
truthful,trung thực,adjective
tube,ống,noun
tunnel,đường hầm,noun
turning,điểm ngoặt,noun
twelve,mười hai,numeral
twenty,hai mươi,numeral
twice,hấp đôi,adverb
twin,sinh đôi,noun
twist,xoắn,verb
typical,điển hình,adjective
ultimately,cuối cùng,adverb
unable,không thể,adjective
uncertain,không chắc chắn,adjective
uncle,chú,bác,noun
undergo,trải qua,verb
underlying,cơ bản,adjective
undertake,đảm nhận,verb
unemployment,thất nghiệp,noun
unexpected,bất ngờ,adjective
unfair,không công bằng,adjective
unfortunately,không may,adverb
unhappy,không vui,adjective
uniform,đồng phục,noun
union,công đoàn,noun
unique,độc đáo,adjective
unit,đơn vị,noun
unite,hợp nhất,verb
universal,phổ quát,adjective
universe,vũ trụ,noun
unknown,không biết,adjective
unless,trừ khi,conjunction
unlike,không giống,preposition
unlikely,khó có khả năng,adjective
unusual,bất thường,adjective
update,cập nhật,verb
upper,phía trên,adjective
urban,đô thị,adjective
urge,thúc giục,verb
urgent,khẩn cấp,adjective
usage,sự sử dụng,noun
used,đã qua sử dụng,adjective
useful,hữu ích,adjective
user,người dùng,noun
usual,thông thường,adjective
utility,tiện ích,noun
vacation,kỳ nghỉ,noun
vacuum,chân không,noun
valid,hợp lệ,adjective
valley,thung lũng,noun
valuable,có giá trị,adjective
variable,biến số,noun
variation,sự thay đổi,noun
variety,sự đa dạng,noun
vast,rộng lớn,adjective
vegetable,rau,noun
vehicle,phương tiện,noun
venture,mạo hiểm,noun
version,phiên bản,noun
versus,so với,preposition
vessel,tàu,noun
veteran,cựu chiến binh,noun
via,thông qua,preposition
victory,chiến thắng,noun
video,video,noun
violate,vi phạm,verb
violation,sự vi phạm,noun
violently,bạo lực,adverb
virtually,hầu như,adverb
virtue,đức hạnh,noun
visible,có thể nhìn thấy,adjective
vision,tầm nhìn,noun
visual,thị giác,adjective
vital,sống còn,adjective
volume,khối lượng,noun
voluntary,tự nguyện,adjective
volunteer,tình nguyện viên,noun
voter,cử tri,noun
wage,tiền lương,noun
wake,thức dậy,verb
wander,lang thang,verb
warm,ấm,adjective
warn,cảnh báo,verb
warning,cảnh báo,noun
waste,lãng phí,noun
wave,sóng,noun
wealth,giàu có,noun
wealthy,giàu có,adjective
weigh,cân,verb
welcome,chào đón,verb
welfare,phúc lợi,noun
western,phía tây,adjective
wheel,bánh xe,noun
whereas,trong khi,conjunction
wherever,bất cứ nơi nào,adverb
whisper,thì thầm,verb
whistle,còi,noun
wholly,hoàn toàn,adverb
widespread,lan rộng,adjective
wild,hoang dã,adjective
wildlife,động vật hoang dã,noun
willing,sẵn lòng,adjective
wipe,lau,verb
wire,dây,noun
wisdom,trí tuệ,noun
withdraw,rút lui,verb
witness,nhân chứng,noun
wood,gỗ,noun
wooden,gỗ,adjective
workshop,hội thảo,noun
worship,thờ cúng,verb
worth,đáng giá,adjective
would,sẽ,modal
wrap,gói,verb
wrist,cổ tay,noun
yellow,vàng,adjective
youth,tuổi trẻ,noun
zone,khu vực,noun
zoo,sở thú,noun

